,Komoditas,Nilai-Ekspor-19,Berat-Ekspor-19,Nilai-Impor-19,Berat-Impor-19,Nilai-Ekspor-20,Berat-Ekspor-20,Nilai-Impor-20,Berat-Impor-20,Nilai-Ekspor-21,Berat-Ekspor-21,Nilai-Impor-21,Berat-Impor-21,Nilai-Ekspor-22,Berat-Ekspor-22,Nilai-Impor-22,Berat-Impor-22,Nilai-Ekspor-23 Jan-Mar,Berat-Ekspor-23 Jan-Mar,Nilai-Impor-23 Jan-Mar,Berat-Impor-23 Jan-Mar
57,[58] Kain tenunan khusus,3656544.06,363572.85,30824816,3050698,3191569.79,310710.47,24494112,2037595,4496039.96,382488.15,38122090,2718980,3933655.37,352134.75,28757377,2124324,3656544.06,363572.85,30824816,3050698
58,[59] Kain tekstil dilapisi atau dilaminasi,10658892.65,2326765.34,58205263,13216112,11143142.75,2639561.98,53933424,11283537,17158105.68,3408572.43,76246882,12365833,12559466.09,2289839.16,60086801,8672722,10658892.65,2326765.34,58205263,13216112
59,[60] Kain rajutan,9007693.91,1729435.42,133383316,16179959,9579700.87,1631786.95,132249415,17924958,12163657.43,1974630.69,195187327,22174925,9310920.02,1442888.3,131909062,14853730,9007693.91,1729435.42,133383316,16179959
60,[61] Pakaian dan aksesorinya (rajutan),297395201.62,16575616.07,38875901,4102568,326060046.3,18353851.56,27495569,3586811,487061530.94,23800721.63,30861973,2314950,331040924.29,15909137.63,41582373,2563995,297395201.62,16575616.07,38875901,4102568
61,[62] Pakaian dan aksesorinya (bukan rajutan),418089058.58,16537842.34,43789837,4251566,319605315.31,12701479.67,36287254,4095268,454026484.89,16987755.0,33629168,2142032,415878581.74,14087633.36,37283584,2049054,418089058.58,16537842.34,43789837,4251566
62,[63] Barang tekstil jadi lainnya,15129359.83,3750140.8,15032118,4288506,16090258.6,3858326.59,41655798,6560424,14587863.12,2841494.82,33678219,9052998,11611879.05,2688551.69,15861896,6083767,15129359.83,3750140.8,15032118,4288506
63,[64] Alas kaki,366906435.64,18343739.56,77461689,9545122,461941575.13,23083571.51,62998200,9659647,632477974.01,35113415.73,94116856,14335284,562797035.34,27175198.13,101409017,12758961,366906435.64,18343739.56,77461689,9545122
64,[65] Tutup kepala dan bagiannya,4948580.16,336596.58,3464525,328606,6495337.09,373514.97,4194036,393182,6497408.9,498017.87,3228356,373493,8332719.46,569747.23,4211307,349182,4948580.16,336596.58,3464525,328606
65,"[66] Payung, tongkat, dan bagiannya",262692.87,67159.24,2043561,1259464,208135.28,16473.28,3431766,2269358,168536.17,20335.22,2611206,1626093,158080.16,31778.08,2843296,1909175,262692.87,67159.24,2043561,1259464
66,"[67] Barang dari bulu unggas, bunga artifisial, dan wig",31914857.63,928200.32,8970348,845182,39684264.2,1245962.13,6700095,860940,34759964.34,955782.19,5229360,824562,37031673.88,826946.79,5180040,1026578,31914857.63,928200.32,8970348,845182
67,"[68] Barang dari batu, semen, asbes, atau mika",12335593.46,51205884.23,47087413,113409357,11678417.52,21670192.84,47000111,156739983,14385303.2,22635700.18,47227648,116262166,11679060.29,16444284.84,50306803,117087641,12335593.46,51205884.23,47087413,113409357
68,[69] Produk keramik,19800614.75,19245416.54,57926339,186541075,30386713.06,25121744.04,56176737,198321694,34024846.45,26258555.4,74208880,177613909,21560130.59,17400898.06,81420231,193068633,19800614.75,19245416.54,57926339,186541075
69,[70] Kaca dan barang dari kaca,22469446.77,42994831.69,36082827,41144930,26786989.21,51713581.62,31233614,34242596,29672322.51,49143935.76,42710005,31177353,31907301.31,49724492.23,41914176,31233353,22469446.77,42994831.69,36082827,41144930
70,[71] Logam mulia dan perhiasan/permata,378552411.28,226455.43,73388174,651898,338130180.99,180985.73,223389072,323470,262902430.12,216972.25,372003761,523007,554208888.03,485378.81,289774294,464326,378552411.28,226455.43,73388174,651898
71,[72] Besi dan baja,623260779.38,525804803.88,800971503,1381012042,1203845146.75,913505064.36,725527034,1212393399,2326829854.95,1116517135.69,1298330452,1208948674,2323902134.85,1365165502.87,1117907201,1354729540,623260779.38,525804803.88,800971503,1381012042
72,[73] Barang dari besi dan baja,99027927.76,37739909.67,308956058,155917209,93806245.25,50380789.25,230703952,107518341,160387033.14,63733127.21,298773608,106448832,96912856.29,40170632.28,485100109,166487715,99027927.76,37739909.67,308956058,155917209
73,[74] Tembaga dan barang daripadanya,163942748.78,28485847.47,95376071,15412832,122292064.88,19214216.08,101485865,14186149,287515191.27,31430535.62,137336505,14882319,222421940.38,28429459.47,92809408,12281861,163942748.78,28485847.47,95376071,15412832
74,[75] Nikel dan barang daripadanya,86412071.09,9044806.54,13810188,525340,57581522.53,5824154.85,15536425,855420,235626678.11,40749503.56,9187835,513401,750143697.43,88994097.9,5633809,203480,86412071.09,9044806.54,13810188,525340
75,[76] Aluminium dan barang daripadanya,35030717.91,14048289.91,126066006,54670623,58406495.56,22837836.28,139817464,58213618,67743641.88,18892770.65,255070374,79174778,53140332.62,16392944.6,161920537,56694106,35030717.91,14048289.91,126066006,54670623
76,[78] Timbal dan barang daripadanya,2204712.2,983358.0,14980091,6790656,1350074.13,1031069.26,8170673,3979991,1087015.17,303266.72,12523833,4880660,461568.5,379260.0,4655676,2072857,2204712.2,983358.0,14980091,6790656
77,[79] Seng dan barang daripadanya,1156483.77,798381.53,28965317,11233550,2170545.22,1203815.69,27962297,10117190,2941226.68,1443280.58,53716219,15759281,2420731.88,1003344.72,27864992,8827830,1156483.77,798381.53,28965317,11233550
78,[80] Timah dan barang daripadanya,110393881.67,6445725.35,1407116,72126,122606143.83,6325403.91,1373112,73798,309968645.04,8066007.12,1662071,48237,185114343.49,7734595.07,1295257,45813,110393881.67,6445725.35,1407116,72126
79,[81] Logam tidak mulia lainnya,814634.26,136264.07,7137949,202809,690625.39,116985.25,4993711,199541,11087287.0,2396875.92,10373473,270320,11574951.3,5492205.77,4302168,155482,814634.26,136264.07,7137949,202809
80,[82] Perkakas dan peralatan dari logam tidak mulia,6935082.23,636117.28,48655400,8037485,6826178.01,651269.37,55596372,10247575,9103865.44,1359124.32,72751613,10830623,7802265.04,662025.28,51899645,8558565,6935082.23,636117.28,48655400,8037485
81,[83] Berbagai barang logam tidak mulia,8138012.86,2100110.08,66925455,23482228,8083174.71,2185239.74,67976405,21434323,10327114.84,2143407.95,93621026,24421417,10041821.7,2262196.43,83911010,26864417,8138012.86,2100110.08,66925455,23482228
82,[84] Mesin dan peralatan mekanis serta bagiannya,452346089.08,49655781.59,2277914960,296266747,537984338.44,55582179.05,2163697270,298191382,637390984.64,69302657.27,3034870026,513305039,579995177.54,59958029.64,2902638884,370008914,452346089.08,49655781.59,2277914960,296266747
83,[85] Mesin dan perlengkapan elektrik serta bagiannya,692672862.18,38372573.87,1722920218,108829267,977010571.43,49529738.07,2044786344,106477589,1210749343.23,47634867.96,2176989351,130568927,1266656715.9,43452577.04,2118806162,134482024,692672862.18,38372573.87,1722920218,108829267
84,"[86] Kereta api, trem, dan bagiannya",8884830.68,1347210.89,22674256,4850447,26759459.2,2321587.0,22447486,16592425,3025779.54,2175413.97,27924798,15227932,1339431.51,912824.1,169518089,13986990,8884830.68,1347210.89,22674256,4850447
85,[87] Kendaraan dan bagiannya,572119305.15,66605229.12,438024356,56758629,739073866.06,107094656.29,458591982,55166398,765585400.46,82143046.87,697795018,92605461,962582797.87,100227741.15,903740450,116322798,572119305.15,66605229.12,438024356,56758629
86,[88] Kendaraan udara dan bagiannya,6103035.24,33124.11,82350884,103648,3716605.82,32779.71,52656954,50141,9878342.89,38404.68,24373995,42131,7055263.76,38410.07,32756401,61571,6103035.24,33124.11,82350884,103648
87,"[89] Kapal, perahu, dan struktur terapung",25289828.67,14803420.67,97243733,92842554,13823249.76,11662241.98,140340065,164599436,7013184.2,1283405.44,34399619,34072542,53978453.31,15137095.01,114452736,147596586,25289828.67,14803420.67,97243733,92842554
88,"[90] Instrumen optik, fotografi, sinematografi, dan medis",55328842.04,2680204.8,268165839,11614861,56177772.03,2098262.28,283456104,8366506,68233767.44,2848191.24,338843928,10852333,78476371.25,2949218.35,417751883,11479857,55328842.04,2680204.8,268165839,11614861
89,[91] Jam dan arloji serta bagiannya,2407593.76,22188.56,20910520,1142041,2466854.58,19101.28,23026773,902532,2122032.64,33019.09,30560049,1010398,1963791.37,35134.35,23981024,897020,2407593.76,22188.56,20910520,1142041
90,[92] Instrumen musik dan bagiannya,48335793.17,4191660.09,14719060,1741714,58297675.55,5171495.52,14491424,1121363,67898099.69,5205213.54,17979999,1235699,55734592.83,3671542.65,13924333,1079119,48335793.17,4191660.09,14719060,1741714
91,[93] Senjata dan amunisi serta bagiannya,377.06,30.7,41069761,218707,656.91,27.55,90683827,167400,2450.16,565.48,28559223,665664,97666.88,1077.21,32198355,402235,377.06,30.7,41069761,218707
92,"[94] Perabotan, lampu, dan alat penerangan",212137138.17,54598273.93,106409893,47577314,224049060.96,57106483.2,112072405,44652480,295236995.99,65496993.27,137826589,49064045,216955577.66,48068410.19,178493298,83970772,212137138.17,54598273.93,106409893,47577314
93,"[95] Mainan, permainan dan keperluan olahraga",38990138.0,3224941.46,34023831,6991195,40890950.86,3634556.16,33655251,17731108,50338425.75,4488789.52,36864762,8999615,49821673.89,3844416.24,36370544,9099281,38990138.0,3224941.46,34023831,6991195
94,[96] Berbagai barang buatan pabrik,29012520.63,8679094.51,52207793,10478176,35248592.83,12450949.27,43230144,8301921,35644518.6,11026454.81,67663068,11801250,30640249.92,11391937.79,60823883,13222977,29012520.63,8679094.51,52207793,10478176
95,"[97] Karya seni, barang kolektor, dan barang antik",435903.69,73543.07,1642612,81973,554886.93,90000.78,253945,111107,737388.28,72370.35,258842,46023,1503242.76,33506.49,112802,41737,435903.69,73543.07,1642612,81973
96,[98] Kendaraan bermotor dan komponennya (terbongkar tidak lengkap),0.0,0.0,52151632,6282258,0.0,0.0,20139004,1755510,0.0,0.0,34059455,4060880,11348.29,62595.8,99539807,9545916,0.0,0.0,52151632,6282258
97,"[99] Piranti lunak, barang digital dan barang kiriman",4331965.53,102181.76,59861,35,2050951.32,75426.04,219409,275,1060173.35,60489.09,382450,965,2013547.94,104825.42,23212842,2739,4331965.53,102181.76,59861,35
